#,ID,GROUP,SYNTAX,EXAMPLE_1,EXPECT_1,EXAMPLE_2,EXPECT_2,EXAMPLE_3,EXPECT_3,EXAMPLE_4,EXPECT_4,DESCRIPTION
25,25,LATER,强制分词：${=spec}（按 $IFS 分割；== 关闭）,"IFS=,:; F=""a,b:c""; print -l ${=F}",a⏎b⏎c,"IFS=,; F=""a b,c""; print -l ""${=F}""",a b⏎c,"F=""a b""; print -l ${==F}",a b,,,仅影响当前展开的分词；== 关闭
26,26,LATER,去重 / 排序：${(u)name} / ${(o)name} / ${(O)name},arr=(b a a c); print ${(u)arr},b a c,arr=(b a c); print ${(o)arr},a b c,arr=(b a c); print ${(O)arr},c b a,,,
27,27,LATER,键/值：${(k)assoc} / ${(v)assoc}（关联数组）,typeset -A m=([x]=1 [y]=2); print ${(k)m},x y,typeset -A m=([x]=1 [y]=2); print ${(v)m},1 2,typeset -A m=([a]=A [b]=B); print ${(kvo)m},a A b B,,,(kvo) 示例：输出键和值并排序
28,28,LATER,间接引用：${(P)name},target=FOO; FOO=42; print ${(P)target},42,"idx=2; arr=(a b c); ref=""arr[$idx]""; print ${(P)ref}",b,"ref=""HOME""; print ${(P)ref}",,,,
29,29,LATER,左/右填充：${(l:width::pad:)name} / ${(r:width::pad:)name},"S=""42""; print ""[${(l:5::0:)S}]""",[00042],"S=""hi""; print ""[${(r:5::.:)S}]""",[hi...],arr=(a bb); print -l ${(l:3:: :)arr},a  ⏎bb ,,,对数组逐元素填充
30,30,LATER,匹配即清空 / 过滤数组：${name:#pat}（(M) 取反）,"S=""main.c""; print ${S:#*.c}",,"arr=(a.c b.h c.c); print -l ${arr:#*.h} | sed -e ""s/$/./""",a.⏎c.,"arr=(a.c b.h c.c); print -l ${(M)arr:#*.h} | sed -e ""s/$/./""",b.,,,数组：默认删除匹配元素；(M) 改为保留匹配元素
31,31,LATER,可见化：${(V)name}（显示不可见字符为转义）,S=$'a\tb\n'; print ${(V)S},a\tb\n,S=$'\x01'; print ${(V)S},\x01,S=$'\xE2\x98\x83'; print ${(V)S} | sed -e 's/.*/LEN=&/',LEN=\u2603,,,
32,32,LATER,字符码：${(#)expr}（数字→字符；多字节支持）,N=65; print ${(#)N},A,N=9731; print ${(#)N},☃,,,,,
33,33,LATER,存在性测试：${+name},unset FOO; print ${+FOO},0,BAR=1; print ${+BAR},1,typeset -A m; print ${+m},1,,,
34,34,LATER,带数字的 :hN / :tN,"P=""/a/b/c/d""; print ${P:h3}",/a/b,"P=""/a/b/c/d""; print ${P:t2}",c/d,"P=""/a""; print ${P:h5}",/,,,
35,35,LATER,引用：${(q)name} / ${(Q)name} / ${(qq)name},S='a b*'; print ${(q)S},a\ b\*,"T=""\n""; print ${(q)T}",\\n,"X='""y""'; print ${(Q)${(q)X}}","""y""",,,(q) 加引号/转义；(Q) 去一层引号/转义；(qq) 更强转义
36,36,LATER,引用：:q（加引号） / :Q（去引号）,S='a b'; print ${S:q},a\ b,"T='""x""'; print ${T:q:Q}","""x""",,,,,
37,37,LATER,把结果当作模式：${~spec}（GLOB_SUBST）,"F=""*.c""; ls ${~F} 2>/dev/null | head -n1 | sed -e ""s!.*/!!""",,"p=""a*c""; print ${~p//\*/X}",aXc,"p=""*.txt""; print ${${~p}//\*/X}",X,,,第二个示例演示在更外层替换后仍保留字面量；第一个示例输出依赖当前目录
38,38,LATER,提示符转义：${(%)name}（%→提示符转义；%% 完全）,"S=""100%%""; print ${(%)S}",100%,"S=""%%""; print ${(%)S}",%,,,,,
39,39,LATER,数组差集/交集：${name:|arr2} / ${name:*arr2},A=(a b c d); B=(b d x); print -l ${A:|B},a⏎c,A=(a b c d); B=(b d x); print -l ${A:*B},b⏎d,,,,,:| 删除出现在 arr2 的元素；:* 仅保留交集
40,40,LATER,数组拉链：${name:^arr2} / :^^（重复对齐）,A=(1 2 3 4); B=(a b); print -l ${A:^B},1 a⏎2 b,A=(1 2 3 4); B=(a b); print -l ${A:^^B},1 a⏎2 b⏎3 a⏎4 b,,,,,
41,41,LATER,组合展开控制：${^spec}（RC_EXPAND_PARAM）,arr=(x y); print pre${^arr}post,prexpost preypost,arr=(); print a${^arr}b,ab,"arr=(a b c); print -l ${^arr} | sed -e ""s/$/./""",a.⏎b.⏎c.,,,把数组与左右文本逐元素组合；空数组移除该片段
42,42,LATER,转义序列：${(g:opts:)name}（处理 \n、^X、八进制等）,value='Name\tAge\nA^I42'; print ${(g:oc:)value},Name	Age⏎A	42,value='\141\142'; print ${(g::)value},ab,,,,,
43,43,REFERENCE,命令解析为绝对路径：:c,"P=""zsh""; print ${P:c} | sed -e ""s!.*/!!""",zsh,"P=""/bin/ls""; print ${P:c} | sed -e ""s!.*/!!""",ls,,,,,:c 查 PATH；若不存在则原样返回
44,44,REFERENCE,路径绝对化/真实路径：:a / :A / :P,"P="".""; print ${P:a} | sed -e ""s!.*/!!""",,"P=""$HOME/..""; print ${P:A} | sed -e ""s!.*/!!""",,"P="".""; print ${P:P} | sed -e ""s!.*/!!""",,,,输出依赖实际文件系统；:A 解析符号链接；:P 使用 realpath 语义
45,45,REFERENCE,词法分割：${(z)name} / ${(Z+n+)name},"S='a ""b c"" d'; print -l ${(z)S}",a⏎b c⏎d,"S=""a\nb c""; print -l ${(Z+n+)S}",a⏎b⏎c,,,,,(Z+n+) 将换行当作空白；(z) 按 shell 词法分割
46,46,REFERENCE,再次展开：${(e)name}（对结果再做参数/命令/算术展开）,"S=""FOO=ok; echo $FOO""; print ${(e)S}",ok,"X=""1+2""; print $(( ${(e)X} ))",3,"cmd=""echo hi""; print ${(e)$(print $cmd)}",hi,,,
